Question,Answer
How is psoriasis treated if you have a weak immune system?,"[{'text': ""Radiation and chemotherapy weaken your immune system. When you take a drug that slows down your immune system, like cyclosporine, methotrexate, or biologic drugs, your body can't fight off infection like it normally would."", 'answer_span': [28, 37], 'answer_start': None, 'answer_starts': [[3191, 53], [3991, 168]]}]"
How is psoriasis treated if you have kidney disease?,"[{'text': ""Psoriasis can make you more likely to get type 2 diabetes, especially if your skin disease is serious. If you have severe kidney problems, you shouldn't take acitretin, cyclosporine, or methotrexate, and you should take a smaller-than-normal dose of apremilast ( Otezla)."", 'answer_span': [15, 27], 'answer_start': None, 'answer_starts': [[1754, 102], [3022, 168]]}]"
How is psoriasis treated if you have an infection?,"[{'text': ""If your natural infection-fighting system is weak because of certain diseases (such as HIV) or medications (such as chemotherapy), it can be dangerous to take drugs that affect your immune system. If you have an active serious infection, you shouldn't take these. You should also be tested to see if you've been exposed to tuberculosis or are carrying hepatitis B. Many antibiotics that treat infections shouldn't be taken with systemic drugs. Some change how well your body absorbs the psoriasis drug. Others keep your kidneys from flushing the medicine from your system. That can let it build up to dangerous levels."", 'answer_span': [8, 38, 39, 40, 41, 42, 43], 'answer_start': None, 'answer_starts': [[760, 196], [4160, 66], [4227, 100], [4328, 78], [4407, 58], [4466, 69], [4536, 45]]}]"
How do I get the blisters from dyshidrotic eczema to go away?,"[{'text': 'But you can manage them with medicine, moisturizers, and good hygiene. They might start to taper off once you get into middle age. And if you have a mild case, it could eventually go away on its own.', 'answer_span': [4, 5, 6], 'answer_start': 361, 'answer_starts': [[361, 70], [432, 59], [492, 68]]}]"
What should I do about dyshidrotic eczema if I am sensitive to nickel or cobalt?,"[{'text': ""If you're sensitive to nickel or cobalt, your dermatologist might tell you not to eat foods that are high in these metals. Nickel is in foods like chocolate, broccoli, legumes, and nuts. Cobalt is in shellfish, liver, nuts, beets, cabbage, and chocolate."", 'answer_span': [49, 50, 51], 'answer_start': 4354, 'answer_starts': [[4354, 122], [4477, 63], [4541, 67]]}]"
How can I control blisters from dyshidrotic eczema at home?,"[{'text': ""Use lukewarm water and a mild, scent-free soap. Afterward, gently pat your skin dry. Take your rings off before you wash your hands. Moisture can get trapped under your rings and cause more blisters. Wear gloves with cotton liners whenever your hands are in water, like when you wash dishes. Put a thick moisturizer on your hands and feet every time you shower or wash. Rub it on while your skin is still wet to seal in water. You also might use a cream that has dimethicone to protect your skin. Turn on a humidifier in dry weather to keep your skin from cracking. If allergies set off your eczema, try to stay away from things that trigger them. Don't scratch the blisters -- you'll make them worse."", 'answer_span': [39, 40, 41, 42, 43, 44, 45, 46, 47, 48], 'answer_start': 3652, 'answer_starts': [[3652, 47], [3700, 36], [3737, 47], [3785, 66], [3852, 91], [3944, 134], [4079, 69], [4149, 68], [4218, 81], [4300, 53]]}]"
What treatment is available for dyshidrotic eczema?,"[{'text': ""If you have a severe flare-up, you might need to take a steroid drug, like prednisone, in a pill. An antihistamine like diphenhydramine ( Benadryl) or loratadine ( Alavert, Claritin) can help with the itch, too. Or you might hold a cold, wet compress on the blisters for 15 minutes at a time several times a day. If these treatments don't work well for you, you might try one of these: Light therapy: This uses ultraviolet ( UV) light to clear up your skin. You might get a medicine first to help your skin respond better to the light. Botulinum toxin: These shots stop your hands and feet from sweating, which can trigger the blisters. Medicines that slow down your immune system: Tacrolimus ( Protopic) ointment or pimecrolimus ( Elidel) cream can calm the swelling and irritation. These drugs can be options if you don't want to take steroids. Draining the blisters: Your dermatologist can drain fluid from the blisters. Don't try to do this yourself. You could make the eczema worse."", 'answer_span': [27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37], 'answer_start': 2595, 'answer_starts': [[2595, 97], [2693, 113], [2807, 100], [2908, 144], [3053, 77], [3131, 100], [3232, 146], [3379, 62], [3442, 76], [3519, 30], [3550, 32]]}]"
How bad can dyshidrotic eczema get?,"[{'text': 'Small, itchy blisters on your palms and along the sides of your fingers could be signs of dyshidrotic eczema. Blisters on your hands can make it hard to do things like cook, type, or wash dishes.', 'answer_span': [0, 16], 'answer_start': None, 'answer_starts': [[0, 109], [1287, 85]]}]"
What is dyshidrotic eczema?,"[{'text': 'Dyshidrotic eczema can be mild or severe. If you notice blisters on your hands and feet, see a dermatologist (a doctor who specializes in your skin).', 'answer_span': [14, 20], 'answer_start': None, 'answer_starts': [[1156, 41], [1927, 107]]}]"
What causes skin allergies?,"[{'text': ""The most common causes of skin allergies include: Nickel, a metal used in jewelry and snaps on jeans, makeup, lotions, soaps, and shampoos Sunscreens and bug sprays Medications you put on your skin, like antibiotics or anti-itch creams Fragrances Cleaning products Plants, including poison ivy Latex, which is used in stretchy things like plastic gloves, elastic in clothing, condoms, and balloons Chemicals You're more likely to have certain skin allergies if you a have skin condition like eczema (your doctor may call it atopic dermatitis), inflammation in your lower legs because of poor circulation, itching in your private parts, or you often get swimmer's ear."", 'answer_span': [18], 'answer_start': 1552, 'answer_starts': [[1552, 667]]}]"
Can any woman use Depo-Provera?,"[{'text': ""It's OK for most women. But you shouldn't get it if you have: Unexplained vaginal bleeding Liver disease Breast cancer Blood clots Your doctor will be cautious about giving it to you if you're a teenager, or if you have: Diabetes A history of depression A history of heart attack or stroke Osteoporosis or a high risk for it They can include: Irregular menstrual periods, or no periods at all Headaches Nervousness Depression Dizziness Acne Changes in appetite Weight gain Unwanted facial and body hair Hair loss Loss of bone mineral density Belly pain Bloating Breakthrough bleeding Fatigue Less interest in sex Weakness Changes to your menstrual cycle are the most common side effects."", 'answer_span': [13, 14], 'answer_start': 1604, 'answer_starts': [[1604, 23], [1628, 663]]}]"
What are the side effects of Depo-Provera?,"[{'text': ""But you shouldn't get it if you have: Unexplained vaginal bleeding Liver disease Breast cancer Blood clots Your doctor will be cautious about giving it to you if you're a teenager, or if you have: Diabetes A history of depression A history of heart attack or stroke Osteoporosis or a high risk for it They can include: Irregular menstrual periods, or no periods at all Headaches Nervousness Depression Dizziness Acne Changes in appetite Weight gain Unwanted facial and body hair Hair loss Loss of bone mineral density Belly pain Bloating Breakthrough bleeding Fatigue Less interest in sex Weakness Changes to your menstrual cycle are the most common side effects. You may have irregular bleeding or spotting. After a year of use, about 50% of women will stop getting their periods. If this happens to you, your period should come back when you stop getting the shots. Long-term use of Depo- Provera may lead to loss of bone mineral density, which makes you more likely to get osteoporosis. Your chances are even higher if you've taken the shot for longer than 2 years, especially if osteoporosis runs in your family, you drink a lot, you smoke, or you have other risk factors for the condition."", 'answer_span': [14, 15, 16, 17, 18, 19], 'answer_start': 1628, 'answer_starts': [[1628, 663], [2292, 44], [2337, 72], [2410, 85], [2496, 121], [2618, 204]]}]"
What are the disadvantages of Depo-Provera?,"[{'text': ""But you shouldn't get it if you have: Unexplained vaginal bleeding Liver disease Breast cancer Blood clots Your doctor will be cautious about giving it to you if you're a teenager, or if you have: Diabetes A history of depression A history of heart attack or stroke Osteoporosis or a high risk for it They can include: Irregular menstrual periods, or no periods at all Headaches Nervousness Depression Dizziness Acne Changes in appetite Weight gain Unwanted facial and body hair Hair loss Loss of bone mineral density Belly pain Bloating Breakthrough bleeding Fatigue Less interest in sex Weakness Changes to your menstrual cycle are the most common side effects. Regular doctor visits for the shots can be inconvenient. You need to stop taking Depo- Provera several months ahead of time if you plan to become pregnant. It doesn't protect you against sexually transmitted diseases ( STDs). Use a condom for safer sex."", 'answer_span': [14, 32, 33, 35, 36], 'answer_start': None, 'answer_starts': [[1628, 663], [3727, 56], [3784, 98], [3954, 69], [4024, 27]]}]"
What is the treatment for eyelid inflammation (blepharitis)?,"[{'text': ""Several things could be to blame, including: Mites in your eyelashes Bacteria like staph Allergies to products that come in contact with your eye, like makeup or contact lens solution Tiny oil glands in your eyelid getting clogged Acne rosacea (facial redness) To ease your symptoms, take care of your eyes and keep the area around them clean: Apply a warm compress: Do this twice a day for 15 minutes to loosen crust from your eyelashes and help get rid of extra oil that's plugging up your glands. Gently wash the area: After you take off the compress, use a cotton swab or washcloth to lightly clean the area with a mixture of baby shampoo and water. Rinse well afterward. Blink: This helps the glands in your eyelids squeeze out extra oil. Blink at least 20 times in a row, 4 times a day. Give your eyes a rest: Until your symptoms get better, don't wear eye makeup or contact lenses. Care for dry eyes: Use over-the-counter artificial tears to keep your eyes moist. Get enough omega-3s: Some research suggests that a diet high in these fatty acids can help manage blepharitis symptoms. Have fish twice a week, and make one a fatty fish like salmon, fresh or frozen tuna, or herring."", 'answer_span': [7, 8, 9, 10, 11, 12, 13, 14, 15], 'answer_start': 1155, 'answer_starts': [[1155, 499], [1655, 153], [1809, 21], [1831, 67], [1899, 48], [1948, 95], [2044, 81], [2126, 119], [2246, 96]]}]"
Will a child with sensitive skin outgrow it?,"[{'text': 'A child with sensitive skin due to eczema has a very good chance of outgrowing it before age 5 and a 40% to 50% chance of outgrowing it by the time he or she is a teen. About 80% of people ages 11 to 30 have outbreaks of acne. For most of them, acne typically goes away sometime in their 30s. Psoriasis is considered a chronic, lifelong disease.', 'answer_span': [64, 65, 66, 67], 'answer_start': 7114, 'answer_starts': [[7114, 168], [7283, 57], [7341, 65], [7407, 52]]}]"
What causes sensitive skin?,"[{'text': 'Causes of sensitive skin reactions include: Skin disorders or allergic skin reactions such as eczema, rosacea, or allergic contact dermatitis Overly dry or injured skin that can no longer protect nerve endings, leading to skin reactions Excessive exposure to skin-damaging environmental factors such as sun and wind or excessive heat or cold Genetic factors, age, gender, and race differences in skin sensitivity are less well-defined but still may play a role in causing skin reactions.', 'answer_span': [4], 'answer_start': 720, 'answer_starts': [[720, 487]]}]"
Is sensitive skin inherited?,"[{'text': 'A number of the skin diseases and conditions linked to sensitive skin are known or believed to run in families. They include acne, eczema, psoriasis, and rosacea. Skin irritation from a reaction to a skin care, cosmetic, or household product is not inherited.', 'answer_span': [69, 70, 71], 'answer_start': 7465, 'answer_starts': [[7465, 111], [7577, 50], [7628, 96]]}]"
What is sensitive skin?,"[{'text': ""Or they say they have it because even though they have no visible effects after contact with a product, it always makes their skin feel uncomfortable. But here is what dermatologists look for when diagnosing sensitive skin: Skin reactions such as pustules, skin bumps, or skin erosion Very dry skin which doesn't properly protect nerve endings in the skin A tendency toward blushing and skin flushing Have a dermatologist check your skin. That's the best way to find out if you have sensitive skin or whether something else is causing your skin condition. Causes of sensitive skin reactions include: Skin disorders or allergic skin reactions such as eczema, rosacea, or allergic contact dermatitis Overly dry or injured skin that can no longer protect nerve endings, leading to skin reactions Excessive exposure to skin-damaging environmental factors such as sun and wind or excessive heat or cold Genetic factors, age, gender, and race differences in skin sensitivity are less well-defined but still may play a role in causing skin reactions."", 'answer_span': [1, 2, 3, 4], 'answer_start': 164, 'answer_starts': [[164, 150], [315, 287], [603, 116], [720, 487]]}]"
What can be used to treat eczema?,"[{'text': ""Other treatments include antihistamines to lessen severe itching, tar treatments (chemicals designed to reduce itching), phototherapy (therapy using ultraviolet light applied to the skin), and the drug cyclosporine for people whose condition doesn't respond to other treatments."", 'answer_span': [33], 'answer_start': 3443, 'answer_starts': [[3443, 278]]}]"
What is the goal of treatment for eczema?,"[{'text': 'The goal of treatment for eczema is to relieve and prevent itching, which can lead to infection. Since the disease makes skin dry and itchy, lotions and creams are recommended to keep the skin moist. These products are usually applied when the skin is damp, such as after bathing, to help the skin retain moisture. Cold compresses may also be used to relieve itching.', 'answer_span': [27, 28, 29, 30], 'answer_start': 2775, 'answer_starts': [[2775, 96], [2872, 102], [2975, 114], [3090, 52]]}]"
What over-the-counter products can treat eczema?,"[{'text': 'Over-the-counter products, such as hydrocortisone 1% cream, or prescription creams and ointments containing corticosteroids, are often prescribed to lessen inflammation. In addition, if the affected area becomes infected, your doctor may prescribe antibiotics to kill the infection-causing bacteria.', 'answer_span': [31, 32], 'answer_start': 3143, 'answer_starts': [[3143, 169], [3313, 129]]}]"
What are symptoms of eczema in infants?,"[{'text': 'Sometimes the itching will start before the rash appears, but when it does, the rash most commonly appears on the face, back of the knees, wrists, hands, or feet.', 'answer_span': [6], 'answer_start': 698, 'answer_starts': [[698, 162]]}]"
What are warnings for treating eczema?,"[{'text': 'The FDA has warned doctors to prescribe Elidel and Protopic with caution due to concerns over a possible cancer risk associated with their use. The two creams also carry the FDA\'s ""black box"" warning on their packaging to alert doctors and patients to these potential risks. The warning advises doctors to prescribe short-term use of Elidel and Protopic only after other available eczema treatments have failed in adults and children over the age of 2. It should not be used in kids under age 2.', 'answer_span': [36, 37, 38, 39], 'answer_start': 3960, 'answer_starts': [[3960, 143], [4104, 130], [4235, 177], [4413, 42]]}]"
How many people are affected by eczema?,"[{'text': 'Eczema affects about 10% to 20% of infants and about 3% of adults and children in the U. S. Most infants who develop the condition outgrow it by their tenth birthday, while some people continue to have symptoms on and off throughout life. With proper treatment, the disease often can be controlled.', 'answer_span': [3, 4], 'answer_start': 322, 'answer_starts': [[322, 238], [561, 59]]}]"
How is eczema diagnosed?,"[{'text': ""While there are no tests to determine eczema, most often your doctor can tell if it's eczema by looking at your skin and by asking a few questions. Since many people with eczema also have allergies, your doctor may perform allergy tests to determine possible irritants or triggers. Children with eczema are especially likely to be tested for allergies."", 'answer_span': [24, 25, 26], 'answer_start': 2422, 'answer_starts': [[2422, 147], [2570, 133], [2704, 70]]}]"
How can you manage eczema?,"[{'text': ""Although there is no cure, most people can effectively manage their disease with medical treatment and by avoiding irritants. The condition is not contagious and can't be spread from person to person."", 'answer_span': [21, 22], 'answer_start': 2128, 'answer_starts': [[2128, 125], [2254, 74]]}]"
When is eczema commonly found?,"[{'text': 'In addition, eczema is commonly found in families with a history of other allergies or asthma. Also, defects in the skin barrier could allow moisture out and germs in.', 'answer_span': [14, 15], 'answer_start': 1492, 'answer_starts': [[1492, 94], [1587, 72]]}]"
What are symptoms of eczema?,"[{'text': 'Sometimes the itching will start before the rash appears, but when it does, the rash most commonly appears on the face, back of the knees, wrists, hands, or feet. It may also affect other areas as well. Affected areas usually appear very dry, thickened, or scaly. In fair-skinned people, these areas may initially appear reddish and then turn brown. Among darker-skinned people, eczema can affect pigmentation, making the affected area lighter or darker. The goal of treatment for eczema is to relieve and prevent itching, which can lead to infection.', 'answer_span': [6, 7, 8, 9, 10, 27], 'answer_start': None, 'answer_starts': [[698, 162], [861, 39], [901, 60], [962, 85], [1048, 104], [2775, 96]]}]"
What can cause eczema?,"[{'text': 'For others, feeling too hot or too cold, exposure to certain household products like soap or detergent, or coming into contact with animal dander may cause an outbreak. Upper respiratory infections or colds may also be triggers. Stress may cause the condition to worsen. The drugs, Elidel and Protopic, are skin creams that work by altering the immune system response to prevent flare-ups.', 'answer_span': [18, 19, 20, 35], 'answer_start': None, 'answer_starts': [[1857, 168], [2026, 59], [2086, 41], [3841, 118]]}]"
What causes eczema?,"[{'text': ""The exact cause of eczema is unknown, but it's thought to be linked to an overactive response by the body's immune system to an irritant. The drugs, Elidel and Protopic, are skin creams that work by altering the immune system response to prevent flare-ups."", 'answer_span': [12, 35], 'answer_start': None, 'answer_starts': [[1298, 137], [3841, 118]]}]"
How can you prevent eczema outbreaks?,"[{'text': 'Stress may cause the condition to worsen. Avoid sudden changes in temperature or humidity. Avoid sweating or overheating. Be aware of any foods that may cause an outbreak and avoid those foods.', 'answer_span': [20, 41, 42, 46], 'answer_start': None, 'answer_starts': [[2086, 41], [4578, 48], [4627, 30], [4758, 71]]}]"
Who gets rosacea?,"[{'text': ""For instance, your chances of getting the skin condition go up if you: Have light skin, blonde hair, and blue eyes Are between ages 30 and 50 Are a woman Have family members with rosacea Had severe acne Smoke There isn't a cure for rosacea, but treatments can help you manage the redness, bumps, and other symptoms."", 'answer_span': [24], 'answer_start': 1976, 'answer_starts': [[1976, 315]]}]"
What causes food protein-induced enterocolitis syndrome (FPIES)?,"[{'text': ""You may notice that a couple of hours after your baby eats, she vomits over and over and then gets diarrhea. If you notice these signs, take your child to the hospital right away: Apparent confusion Cool or clammy skin Extreme thirst Pale or even blue skin Shallow breaths Sluggishness or tiredness Weak pulse The syndrome is caused by cells in your child's immune system that react badly to certain foods. This leads to a severe reaction in the gastrointestinal tract. About 40% to 80% of kids who have the allergy have family members who also have other types of allergies such as hay fever or eczema skin rashes. This will be done in a clinic or hospital."", 'answer_span': [8, 12, 13, 15, 27], 'answer_start': None, 'answer_starts': [[640, 108], [961, 297], [1259, 62], [1377, 145], [2694, 42]]}]"
What are some questions to ask your doctor about different treatments for psoriasis?,"[{'text': ""It's important to know about the side effects of any treatment your doctor recommends. Some questions you may want to ask include: What serious side effects should I watch for and when should I call for medical help? What can I do to help manage the side effects of my medication? What should I know about being in the sun? What are my options if I can't handle the side effects of this drug? Is it safe if I'm thinking about getting pregnant?"", 'answer_span': [41, 42, 43, 44, 45, 46], 'answer_start': 3742, 'answer_starts': [[3742, 86], [3829, 129], [3959, 63], [4023, 42], [4066, 68], [4135, 50]]}]"
How does light therapy treat psoriasis?,"[{'text': ""Ultraviolet light targeted at problem areas can help control psoriasis outbreaks. But it should be done only under a doctor's care. Common side effects are minor burns and a higher risk of skin cancer. It also can make you more sensitive to sunlight. With photochemotherapy, which includes a drug that makes the ultraviolet light work better, short-term side effects also include nausea, itching, and red skin."", 'answer_span': [25, 26, 27, 28, 29], 'answer_start': 2070, 'answer_starts': [[2070, 81], [2152, 49], [2202, 69], [2272, 48], [2321, 159]]}]"
What are side effects of salicylic acid for psoriasis?,"[{'text': 'Salicylic acid: This helps get rid of dead skin cells. It also may irritate your skin. If you use it on your scalp over a long period, it could make your hair weak and possibly fall out.', 'answer_span': [20, 21, 22], 'answer_start': 1627, 'answer_starts': [[1627, 54], [1682, 31], [1714, 99]]}]"
What are side effects of anthralin for psoriasis?,"[{'text': ""Anthralin: This medicine makes skin cells grow more slowly and helps get rid of scales. The most common side effect is skin irritation. It also can stain your skin as well as clothing, fabric, and even hard surfaces. It's best to let it stay on your skin only for a short time and then wash it off."", 'answer_span': [13, 14, 15, 16], 'answer_start': 1033, 'answer_starts': [[1033, 87], [1121, 47], [1169, 80], [1250, 81]]}]"
What are the side effects of biologics to treat psoriasis?,"[{'text': 'Biologics: These are strong drugs made from living cells. Because they affect your immune system, they can raise your chances of a serious infection, including tuberculosis.', 'answer_span': [39, 40], 'answer_start': 3568, 'answer_starts': [[3568, 57], [3626, 115]]}]"
What can treat psoriasis?,"[{'text': 'These include topical treatments you put on your skin, light therapy, pills, shots, and infusions (drugs put directly into your bloodstream with a small needle and a tube). Each comes with its own possible side effects. Your doctor can help you weigh the risks and benefits of any treatment.', 'answer_span': [3, 4, 5], 'answer_start': 227, 'answer_starts': [[227, 172], [400, 46], [447, 71]]}]"
What are the side effects of retinoids that treat psoriasis?,"[{'text': ""When treatments like creams, ointments, shampoos, and phototherapy don't do enough to control your psoriasis, you may need to take medicine. Retinoids: These drugs made from vitamin A can raise your chances of liver problems. Your doctor will do regular blood tests to watch for that. They also bring a risk of birth defects, so women who take them shouldn't get pregnant for at least 3 years afterward. Other possible side effects include: Depression Dry, cracked skin or lips Hair loss Joint pain Nosebleeds Trouble seeing in the dark Methotrexate: This drug, usually taken as a pill or shot, slows the growth of skin cells and eases inflammation."", 'answer_span': [30, 31, 32, 33, 34], 'answer_start': 2481, 'answer_starts': [[2481, 140], [2622, 84], [2707, 58], [2766, 118], [2885, 245]]}]"
What are side effects of coal tar for psoriasis?,"[{'text': 'Coal tar: This thick, black byproduct of coal can slow down the growth of skin cells, ease inflammation, help with itching and scaling, and make your skin look better. But it also can irritate and dry out your skin and make you more sensitive to sunlight.', 'answer_span': [23, 24], 'answer_start': 1814, 'answer_starts': [[1814, 167], [1982, 87]]}]"
What are side effects of light therapy (phototherapy) for psoriasis?,"[{'text': 'Common side effects are minor burns and a higher risk of skin cancer. It also can make you more sensitive to sunlight. With photochemotherapy, which includes a drug that makes the ultraviolet light work better, short-term side effects also include nausea, itching, and red skin.', 'answer_span': [27, 28, 29], 'answer_start': 2202, 'answer_starts': [[2202, 69], [2272, 48], [2321, 159]]}]"
What are the side effects from psoriasis skin treatments that have vitamin D in them?,"[{'text': 'Vitamin D: Topical treatments that have vitamin D, like calcipotriene and calcitriol, can irritate your skin.', 'answer_span': [12], 'answer_start': 923, 'answer_starts': [[923, 109]]}]"
What are side effects of tazarotene for psoriasis?,"[{'text': ""Tazarotene: This is a retinoid cream, which means it's made from vitamin A. It can irritate your skin and make you more sensitive to sunlight. It's not recommended for women who are pregnant or plan to get pregnant because it can raise your chances of having a child with certain birth defects."", 'answer_span': [17, 18, 19], 'answer_start': 1332, 'answer_starts': [[1332, 75], [1408, 66], [1475, 151]]}]"
What are some topical treatments that treat psoriasis?,"[{'text': 'These are medicines you rub on your skin, including your scalp. If you have mild or moderate psoriasis, one of these may be all you need to control it. In more severe cases, you may use one along with other treatments.', 'answer_span': [6, 7, 8], 'answer_start': 519, 'answer_starts': [[519, 63], [583, 87], [671, 66]]}]"
What are side effects of corticosteroids for psoriasis?,"[{'text': ""Corticosteroids: These powerful drugs ease inflammation and can help a lot. But you shouldn't use them over a long period. They can make your skin thinner and may stop working as well."", 'answer_span': [9, 10, 11], 'answer_start': 738, 'answer_starts': [[738, 75], [814, 46], [861, 61]]}]"
What are questions that I can ask for my doctor about psoriasis treatments and its side effects?,"[{'text': ""Some questions you may want to ask include: What serious side effects should I watch for and when should I call for medical help? What can I do to help manage the side effects of my medication? What should I know about being in the sun? What are my options if I can't handle the side effects of this drug? Is it safe if I'm thinking about getting pregnant?"", 'answer_span': [42, 43, 44, 45, 46], 'answer_start': 3829, 'answer_starts': [[3829, 129], [3959, 63], [4023, 42], [4066, 68], [4135, 50]]}]"
What do probiotics do?,"[{'text': ""Among other things, probiotics help send food through your gut by affecting nerves that control gut movement. Researchers are still trying to figure out which are best for certain health problems. Some common conditions they treat are: Irritable bowel syndrome Inflammatory bowel disease ( IBD) Infectious diarrhea (caused by viruses, bacteria, or parasites) Diarrhea caused by antibiotics There is also some research that shows they're useful for problems in other parts of your body. For example, some people say they have helped with: Skin conditions, like eczema Urinary and vaginal health Preventing allergies and colds Oral health The FDA regulates probiotics like foods, not like medications."", 'answer_span': [21, 22, 23, 24], 'answer_start': 1417, 'answer_starts': [[1417, 109], [1527, 86], [1614, 288], [1903, 213]]}]"
How can you use probiotics safely?,"[{'text': ""For example, some people say they have helped with: Skin conditions, like eczema Urinary and vaginal health Preventing allergies and colds Oral health The FDA regulates probiotics like foods, not like medications. Unlike drug companies, makers of probiotic supplements don't have to show their products are safe or that they work. Ask your doctor if taking probiotics is a good idea for you. In general, probiotic foods and supplements are thought to be safe for most people, though some people with immune system problems or other serious health conditions shouldn't take them. In some cases, mild side effects might include an upset stomach, diarrhea, gas, and bloating for the first couple of days after you start taking them. They may also trigger allergic reactions. Stop taking them and talk to your doctor if you have problems."", 'answer_span': [24, 25, 26, 27, 28, 29, 30], 'answer_start': 1903, 'answer_starts': [[1903, 213], [2117, 116], [2234, 60], [2295, 186], [2482, 150], [2633, 41], [2675, 62]]}]"
What can cause itchy skin?,"[{'text': ""Many things can make you want to scratch: Eczema Dry skin Dermatitis Psoriasis Poison ivy Insect bites Hives Shingles Chickenpox Sunburn The kind you put in your bath water isn't the same type that you eat for breakfast."", 'answer_span': [2], 'answer_start': 145, 'answer_starts': [[145, 220]]}]"
What is the difference between pediatric psoriasis and a diaper rash?,"[{'text': ""Children under 2 can get psoriatic diaper rash. It happens on the skin that's covered up by the diaper. It may show up like plaque psoriasis, or it may cause a bright red, weeping rash. You can tell the difference between psoriatic diaper rash and regular diaper rash because psoriatic diaper rash doesn't get better with regular diaper rash treatment."", 'answer_span': [24, 25, 26, 27], 'answer_start': 1764, 'answer_starts': [[1764, 47], [1812, 55], [1868, 81], [1950, 166]]}]"
What are options for the treatment of pediatric psoriasis?,"[{'text': ""Other options may include: Topical treatments: Most children have mild psoriasis you can treat with cream, lotion, or ointment that's spread onto the skin. These include: Corticosteroids Coal tar Anthralin Calcipotriene (a form of vitamin D) Light therapy: Your child's doctor might choose this option if plaques are on most of your child's body. Types include artificial light ( UV light) and laser therapy. But these treatments are known as second line, meaning your doctor will likely try a topical treatment before light therapy. Oral medications: Your child's doctor will probably recommend medicine to take by mouth or by shot only if the psoriasis is severe. Many of the ones doctors use for adults are not as safe in children and have serious side effects."", 'answer_span': [42, 43, 44, 45, 46, 47], 'answer_start': 3405, 'answer_starts': [[3405, 155], [3561, 190], [3752, 61], [3814, 124], [3939, 131], [4071, 98]]}]"
What is pediatric psoriasis?,"[{'text': ""The two types children are most likely to get are: Plaque psoriasis. It causes red, dry patches called plaques. They're itchy, red, and sometimes painful. Other options may include: Topical treatments: Most children have mild psoriasis you can treat with cream, lotion, or ointment that's spread onto the skin."", 'answer_span': [11, 13, 16, 42], 'answer_start': None, 'answer_starts': [[1069, 68], [1183, 42], [1343, 42], [3405, 155]]}]"
What can make acne worse?,"[{'text': 'Though acne is essentially a normal physiologic occurrence, certain conditions may aggravate the condition, including: Fluctuating hormone levels around the time of menses (women) Manipulating (picking/prodding) acne lesions Clothing (for example, hats and sports helmets) and headgear Only three types of drugs have proven to be effective for the treatment of acne -- antibiotics, benzoyl peroxide, and retinoids.', 'answer_span': [7], 'answer_start': 788, 'answer_starts': [[788, 414]]}]"
What are the forms of acne?,"[{'text': 'Retinoids (vitamin A derivatives), for example, Differin, Retin- A, Tazorac, treat blackheads and whiteheads, the first lesions of acne.', 'answer_span': [11], 'answer_start': 1550, 'answer_starts': [[1550, 136]]}]"
How can acne be prevented?,"[{'text': 'To prevent acne and reduce its damage to your skin, follow these tips. Choose a cleanser specially formulated for acne. These products often contain salicylic acid or benzoyl peroxide, which help to clear acne sores. Clean your face gently, as trauma to the acne breakouts may worsen the acne or cause scarring. When washing your face, use your hands or cotton pads, as any terrycloth or other scrubbing material may cause acne sores to rupture. If you need to use a moisturizer, use only light, noncomedogenic moisturizers, which do not aggravate acne. If you are a woman, use an oil-free foundation. Heavy makeup or other cosmetic products that block pores may cause a flare-up of acne.', 'answer_span': [25, 26, 27, 28, 29, 30, 31, 32], 'answer_start': 3240, 'answer_starts': [[3240, 70], [3311, 48], [3360, 96], [3457, 94], [3552, 133], [3686, 107], [3794, 47], [3842, 86]]}]"
Can antibiotics help acne?,"[{'text': 'Antibiotics , either topically applied to the skin (clindamycin, erythromycin), or taken orally (tetracycline and its derivatives, trimethoprim-sulfamethoxazole) control surface bacteria and reduce inflammation in the skin. Antibiotics are more effective when combined with benzoyl peroxide or retinoids.', 'answer_span': [14, 15], 'answer_start': 1828, 'answer_starts': [[1828, 223], [2052, 80]]}]"
Are there drugs that can help acne?,"[{'text': 'Though acne is essentially a normal physiologic occurrence, certain conditions may aggravate the condition, including: Fluctuating hormone levels around the time of menses (women) Manipulating (picking/prodding) acne lesions Clothing (for example, hats and sports helmets) and headgear Only three types of drugs have proven to be effective for the treatment of acne -- antibiotics, benzoyl peroxide, and retinoids. Most people require at least one or two agents, depending on the severity of their acne.', 'answer_span': [7, 8], 'answer_start': 788, 'answer_starts': [[788, 414], [1203, 88]]}]"
What are retinoids?,"[{'text': 'Acne lesions include whiteheads, blackheads, small bumps, and nodules and cysts. The most common side effect is irritation. While most are prescription only, there is an over-the-counter version of Differin now available.', 'answer_span': [6, 12, 13], 'answer_start': None, 'answer_starts': [[707, 80], [1687, 42], [1730, 97]]}]"
What is acne and how severe can it be?,"[{'text': 'Treatment depends on the severity of the condition. Acne lesions include whiteheads, blackheads, small bumps, and nodules and cysts. The most common side effect is irritation.', 'answer_span': [2, 6, 12], 'answer_start': None, 'answer_starts': [[250, 51], [707, 80], [1687, 42]]}]"
